apeye,1.4.1,pip install apeye,2023-08-14,2023,0.0.2,2020-08-23,2020,https://pypi.org/project/apeye/,https://apeye.readthedocs.io/en/latest/
bitstring,4.1.0,pip install bitstring,2023-08-17,2023,0.3.2,2009-03-13,2009,https://pypi.org/project/bitstring/,https://bitstring.readthedocs.io/en/stable/
datacompy,0.10.3,pip install datacompy,2023-08-15,2023,0.5.0,2018-03-28,2018,https://pypi.org/project/datacompy/,https://capitalone.github.io/datacompy/
emoji,2.8.0,pip install emoji,2023-08-16,2023,0.0.1,2014-08-18,2014,https://pypi.org/project/emoji/,https://carpedm20.github.io/emoji/docs/index.html
chardet,5.2.0,pip install chardet,2023-08-01,2023,1,2006-12-23,2006,https://pypi.org/project/chardet/,https://chardet.readthedocs.io/en/latest/index.html
click,8.1.7,pip install click,2023-08-17,2023,0.1,2014-04-21,2014,https://pypi.org/project/click/,https://click.palletsprojects.com/en/8.1.x/
category-encoders,2.6.2,pip install category-encoders,2023-08-15,2023,1.0.0,2016-02-24,2016,https://pypi.org/project/category-encoders/,https://contrib.scikit-learn.org/category_encoders/
bokeh,3.2.2,pip install bokeh,2023-08-14,2023,0.2,2013-10-23,2013,https://pypi.org/project/bokeh/,https://docs.bokeh.org/en/latest/
scipy,1.11.2,pip install scipy,2023-08-17,2023,0.4.4,2006-01-09,2006,https://pypi.org/project/scipy/,https://docs.scipy.org/doc/scipy/
xarray,2023.8.0,pip install xarray,2023-08-20,2023,0.7.0,2016-01-22,2016,https://pypi.org/project/xarray/,https://docs.xarray.dev/en/stable/
gymnasium,0.29.1,pip install gymnasium,2023-08-21,2023,0.0.1,2021-11-05,2021,https://pypi.org/project/gymnasium/,https://gymnasium.farama.org/
datasets,2.14.4,pip install datasets,2023-08-08,2023,0.0.9,2015-08-18,2015,https://pypi.org/project/datasets/,https://huggingface.co/docs/datasets/index
hypothesis,6.82.6,pip install hypothesis,2023-08-20,2023,0.0.1,2013-03-10,2013,https://pypi.org/project/hypothesis/,https://hypothesis.readthedocs.io/en/latest/
ibis-framework,6.1.0,pip install ibis-framework,2023-08-03,2023,0.3.0,2015-07-20,2015,https://pypi.org/project/ibis-framework/,https://ibis-project.org/
json-tricks,3.17.3,pip install json-tricks,2023-08-19,2023,1,2015-11-07,2015,https://pypi.org/project/json-tricks/,https://json-tricks.readthedocs.io/en/latest/
pytorch-lightning,2.0.7,pip install pytorch-lightning,2023-08-16,2023,0.0.2,2019-03-31,2019,https://pypi.org/project/pytorch-lightning/,https://lightning.ai/docs/pytorch/latest/
rapidfuzz,3.2.0,pip install rapidfuzz,2023-08-02,2023,0.0.6,2020-03-18,2020,https://pypi.org/project/rapidfuzz/,https://maxbachmann.github.io/RapidFuzz/index.html
mlflow,2.6.0,pip install mlflow,2023-08-15,2023,0.0.1,2018-06-04,2018,https://pypi.org/project/mlflow/,https://mlflow.org/docs/latest/index.html
more-itertools,10.1.0,pip install more-itertools,2023-08-03,2023,1,2012-04-26,2012,https://pypi.org/project/more-itertools/,https://more-itertools.readthedocs.io/en/stable/index.html
optuna,3.3.0,pip install optuna,2023-08-07,2023,0.0.1,2018-10-19,2018,https://pypi.org/project/optuna/,https://optuna.readthedocs.io/en/stable/
plotly,5.16.1,pip install plotly,2023-08-16,2023,0.2,2013-06-12,2013,https://pypi.org/project/plotly/,https://plotly.com/python/
polars,0.18.15,pip install polars,2023-08-15,2023,0.0.1,2021-03-15,2021,https://pypi.org/project/polars/,https://pola-rs.github.io/polars/py-polars/html/reference/index.html
Pygments,2.16.1,pip install Pygments,2023-08-06,2023,0.5,2006-10-30,2006,https://pypi.org/project/Pygments/,https://pygments.org/docs/
pypdf,3.15.2,pip install pypdf,2023-08-20,2023,1,2006-01-18,2006,https://pypi.org/project/pypdf/,https://pypdf.readthedocs.io/en/latest/
holidays,0.3,pip install holidays,2023-08-07,2023,0.1,2014-08-28,2014,https://pypi.org/project/holidays/,https://python-holidays.readthedocs.io/en/latest/
jsonschema,4.19.0,pip install jsonschema,2023-08-07,2023,0.1a,2012-01-02,2012,https://pypi.org/project/jsonschema/,https://python-jsonschema.readthedocs.io/en/stable/
validators,0.21.2,pip install validators,2023-08-11,2023,0.1.0,2013-10-17,2013,https://pypi.org/project/validators/,https://python-validators.github.io/validators/
rich,13.5.2,pip install rich,2023-08-01,2023,0.1.0,2019-11-10,2019,https://pypi.org/project/rich/,https://rich.readthedocs.io/en/latest/
spacy,3.6.1,pip install spacy,2023-08-08,2023,0.3,2015-01-25,2015,https://pypi.org/project/spacy/,https://spacy.io/
stumpy,1.12.0,pip install stumpy,2023-08-21,2023,0.1,2019-05-04,2019,https://pypi.org/project/stumpy/,https://stumpy.readthedocs.io/en/latest/#
tox,4.9.0,pip install tox,2023-08-16,2023,0.0.0,2018-10-07,2018,https://pypi.org/project/tox/,https://tox.wiki/en/4.11.1/
tqdm,4.66.1,pip install tqdm,2023-08-10,2023,1,2013-10-26,2013,https://pypi.org/project/tqdm/,https://tqdm.github.io/
pymc,5.7.2,pip install pymc,2023-08-09,2023,2,2009-01-05,2009,https://pypi.org/project/pymc/,https://www.pymc.io/projects/docs/en/stable/learn.html
SQLAlchemy,2.0.20,pip install SQLAlchemy,2023-08-15,2023,0.1.0,2006-02-14,2006,https://pypi.org/project/SQLAlchemy/,https://www.sqlalchemy.org/
tornado,6.3.3,pip install tornado,2023-08-11,2023,0.2,2010-05-18,2010,https://pypi.org/project/tornado/,https://www.tornadoweb.org/en/stable/index.html
name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,
Sphinx,7.2.2,pip install Sphinx,2023-08-17,2023,0.1.61611,2008-03-21,2008,https://pypi.org/project/Sphinx/,
argon2-cffi,23.1.0,pip install argon2-cffi,2023-08-15,2023,15.0.0b5,2015-12-10,2015,https://pypi.org/project/argon2-cffi/,
astropy,5.3.2,pip install astropy,2023-08-15,2023,0.1,2012-06-19,2012,https://pypi.org/project/astropy/,
async-timeout,4.0.3,pip install async-timeout,2023-08-10,2023,1.0.0,2016-09-08,2016,https://pypi.org/project/async-timeout/,
blosc2,2.2.6,pip install blosc2,2023-08-01,2023,0.1.1,2021-05-10,2021,https://pypi.org/project/blosc2/,
cmake,3.27.2,pip install cmake,2023-08-12,2023,0.1.0,2016-11-09,2016,https://pypi.org/project/cmake/,
cryptography,41.0.3,pip install cryptography,2023-08-01,2023,0.1,2014-01-08,2014,https://pypi.org/project/cryptography/,
dask,2023.8.1,pip install dask,2023-08-18,2023,0.2.0,2015-01-29,2015,https://pypi.org/project/dask/,
cvxopt,1.3.2,pip install cvxopt,2023-08-09,2023,1.1.6,2014-02-21,2014,https://pypi.org/project/cvxopt/,
debugpy,1.6.7.post1,pip install debugpy,2023-08-08,2023,1.0.0b1,2020-01-29,2020,https://pypi.org/project/debugpy/,
distributed,2023.8.1,pip install distributed,2023-08-18,2023,1.0.0,2015-10-07,2015,https://pypi.org/project/distributed/,
earthengine-api,0.1.364,pip install earthengine-api,2023-08-16,2023,0.0.3,2013-01-02,2013,https://pypi.org/project/earthengine-api/,
exceptiongroup,1.1.3,pip install exceptiongroup,2023-08-14,2023,0.0.0a0,2020-11-04,2020,https://pypi.org/project/exceptiongroup/,
flax,0.7.2,pip install flax,2023-08-09,2023,0.1.0rc1,2020-03-17,2020,https://pypi.org/project/flax/,
fonttools,4.42.1,pip install fonttools,2023-08-20,2023,1,2003-01-03,2003,https://pypi.org/project/fonttools/,
google-api-python-client,2.97.0,pip install google-api-python-client,2023-08-15,2023,1.0beta5prerelease,2011-10-17,2011,https://pypi.org/project/google-api-python-client/,
google-cloud-datastore,2.17.0,pip install google-cloud-datastore,2023-08-09,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-datastore/,
google-cloud-functions,1.13.2,pip install google-cloud-functions,2023-08-03,2023,0.4.0,2020-10-02,2020,https://pypi.org/project/google-cloud-functions/,
google-cloud-language,2.11.0,pip install google-cloud-language,2023-08-14,2023,0.0.1,2016-08-18,2016,https://pypi.org/project/google-cloud-language/,
google-cloud-translate,3.12.0,pip install google-cloud-translate,2023-08-08,2023,0.0.1,2016-09-20,2016,https://pypi.org/project/google-cloud-translate/,
google-cloud-bigquery-connection,1.13.1,pip install google-cloud-bigquery-connection,2023-08-03,2023,0.1.0,2020-05-26,2020,https://pypi.org/project/google-cloud-bigquery-connection/,
grpcio,1.57.0,pip install grpcio,2023-08-10,2023,0.3.0,2015-02-26,2015,https://pypi.org/project/grpcio/,
holoviews,1.17.1,pip install holoviews,2023-08-16,2023,1.0.0,2015-03-17,2015,https://pypi.org/project/holoviews/,
grpcio-status,1.57.0,pip install grpcio-status,2023-08-10,2023,1.16.0,2018-12-11,2018,https://pypi.org/project/grpcio-status/,
humanize,4.8.0,pip install humanize,2023-08-16,2023,0.1,2011-10-12,2011,https://pypi.org/project/humanize/,
importlib-resources,6.0.1,pip install importlib-resources,2023-08-07,2023,0.1.0,2017-12-07,2017,https://pypi.org/project/importlib-resources/,
ipykernel,6.25.1,pip install ipykernel,2023-08-07,2023,4.0.0.dev,2015-07-02,2015,https://pypi.org/project/ipykernel/,
ipywidgets,8.1.0,pip install ipywidgets,2023-08-01,2023,0.0.0,2015-04-30,2015,https://pypi.org/project/ipywidgets/,
jsonpickle,3.0.2,pip install jsonpickle,2023-08-13,2023,0.0.1,2008-03-20,2008,https://pypi.org/project/jsonpickle/,
joblib,1.3.2,pip install joblib,2023-08-09,2023,0.3.2d.dev,2009-09-01,2009,https://pypi.org/project/joblib/,
jupyter-server,2.7.2,pip install jupyter-server,2023-08-18,2023,0.0.0,2016-09-20,2016,https://pypi.org/project/jupyter-server/,
librosa,0.10.1,pip install librosa,2023-08-16,2023,0.2.0,2013-12-14,2013,https://pypi.org/project/librosa/,
nbconvert,7.7.4,pip install nbconvert,2023-08-16,2023,0.0.0,2015-04-21,2015,https://pypi.org/project/nbconvert/,
notebook,7.0.2,pip install notebook,2023-08-04,2023,0.0.0,2015-04-21,2015,https://pypi.org/project/notebook/,
numexpr,2.8.5,pip install numexpr,2023-08-06,2023,1.1.1,2009-01-23,2009,https://pypi.org/project/numexpr/,
opencv-python,4.8.0.76,pip install opencv-python,2023-08-09,2023,3.1.0,2016-09-03,2016,https://pypi.org/project/opencv-python/,
opencv-contrib-python,4.8.0.76,pip install opencv-contrib-python,2023-08-09,2023,3.1.0.0,2017-04-08,2017,https://pypi.org/project/opencv-contrib-python/,
opencv-python-headless,4.8.0.76,pip install opencv-python-headless,2023-08-09,2023,3.4.2.16,2018-07-21,2018,https://pypi.org/project/opencv-python-headless/,
pip-tools,7.3.0,pip install pip-tools,2023-08-08,2023,0.1,2012-09-26,2012,https://pypi.org/project/pip-tools/,
portpicker,1.6.0,pip install portpicker,2023-08-15,2023,1.0.0,2015-03-21,2015,https://pypi.org/project/portpicker/,
protobuf,4.24.1,pip install protobuf,2023-08-18,2023,2.0.0beta,2008-07-10,2008,https://pypi.org/project/protobuf/,
psycopg2,2.9.7,pip install psycopg2,2023-08-05,2023,2.0.2,2006-06-12,2006,https://pypi.org/project/psycopg2/,
pycocotools,2.0.7,pip install pycocotools,2023-08-14,2023,2.0.0,2018-03-11,2018,https://pypi.org/project/pycocotools/,
pydantic,2.2.1,pip install pydantic,2023-08-18,2023,0.0.1,2017-05-03,2017,https://pypi.org/project/pydantic/,
pydata-google-auth,1.8.2,pip install pydata-google-auth,2023-08-01,2023,0.1.0,2018-10-23,2018,https://pypi.org/project/pydata-google-auth/,
pygame,2.5.1,pip install pygame,2023-08-14,2023,1.7.1,2005-08-16,2005,https://pypi.org/project/pygame/,
pyviz-comms,3.0.0,pip install pyviz-comms,2023-08-16,2023,0.1.0,2018-05-22,2018,https://pypi.org/project/pyviz-comms/,
pyzmq,25.1.1,pip install pyzmq,2023-08-10,2023,2.0.7,2010-08-29,2010,https://pypi.org/project/pyzmq/,
regex,2023.8.8,pip install regex,2023-08-08,2023,2013-02-16,2013-02-16,2013,https://pypi.org/project/regex/,
setuptools,68.1.2,pip install setuptools,2023-08-18,2023,0.6b1,2006-05-13,2006,https://pypi.org/project/setuptools/,
soxr,0.3.6,pip install soxr,2023-08-15,2023,0.0.2,2021-05-09,2021,https://pypi.org/project/soxr/,
sphinxcontrib-applehelp,1.0.7,pip install sphinxcontrib-applehelp,2023-08-14,2023,1.0.0,2019-02-05,2019,https://pypi.org/project/sphinxcontrib-applehelp/,
sphinxcontrib-devhelp,1.0.5,pip install sphinxcontrib-devhelp,2023-08-14,2023,1.0.0,2019-01-19,2019,https://pypi.org/project/sphinxcontrib-devhelp/,
sphinxcontrib-htmlhelp,2.0.4,pip install sphinxcontrib-htmlhelp,2023-08-14,2023,1.0.0,2019-02-14,2019,https://pypi.org/project/sphinxcontrib-htmlhelp/,
sphinxcontrib-qthelp,1.0.6,pip install sphinxcontrib-qthelp,2023-08-14,2023,1.0.0,2019-01-17,2019,https://pypi.org/project/sphinxcontrib-qthelp/,
sphinxcontrib-serializinghtml,1.1.9,pip install sphinxcontrib-serializinghtml,2023-08-20,2023,1.0.0,2019-02-17,2019,https://pypi.org/project/sphinxcontrib-serializinghtml/,
tenacity,8.2.3,pip install tenacity,2023-08-14,2023,0.0.1.dev101,2016-08-11,2016,https://pypi.org/project/tenacity/,
tensorboard,2.14.0,pip install tensorboard,2023-08-08,2023,1.0.0a0,2017-02-25,2017,https://pypi.org/project/tensorboard/,
tensorflow-io-gcs-filesystem,0.33.0,pip install tensorflow-io-gcs-filesystem,2023-08-02,2023,0.18.0,2021-05-14,2021,https://pypi.org/project/tensorflow-io-gcs-filesystem/,
tensorflow-probability,0.21.0,pip install tensorflow-probability,2023-08-04,2023,0.0.1,2018-03-10,2018,https://pypi.org/project/tensorflow-probability/,
tensorstore,0.1.41,pip install tensorstore,2023-08-09,2023,0.1.0,2020-04-03,2020,https://pypi.org/project/tensorstore/,
thinc,8.2.0,pip install thinc,2023-08-11,2023,1,2014-10-02,2014,https://pypi.org/project/thinc/,
tensorflow-metadata,1.14.0,pip install tensorflow-metadata,2023-08-09,2023,0.5.0,2018-03-06,2018,https://pypi.org/project/tensorflow-metadata/,
tifffile,2023.8.12,pip install tifffile,2023-08-13,2023,0.1.0,2014-10-11,2014,https://pypi.org/project/tifffile/,
types-setuptools,68.1.0.0,pip install types-setuptools,2023-08-16,2023,57.0.0,2021-06-21,2021,https://pypi.org/project/types-setuptools/,
wheel,0.41.1,pip install wheel,2023-08-05,2023,0.1,2012-07-01,2012,https://pypi.org/project/wheel/,
Werkzeug,2.3.7,pip install Werkzeug,2023-08-14,2023,0.1,2007-12-09,2007,https://pypi.org/project/Werkzeug/,
yfinance,0.2.28,pip install yfinance,2023-08-13,2023,0.1.36,2019-05-26,2019,https://pypi.org/project/yfinance/,
Cartopy,0.22.0,pip install Cartopy,2023-08-05,2023,0.11.0,2014-06-25,2014,https://pypi.org/project/Cartopy/,
TPOT,0.12.1,pip install TPOT,2023-08-15,2023,0.1.1,2015-11-13,2015,https://pypi.org/project/TPOT/,
aiobotocore,2.6.0,pip install aiobotocore,2023-08-11,2023,0.0.2,2016-02-14,2016,https://pypi.org/project/aiobotocore/,
aiofiles,23.2.1,pip install aiofiles,2023-08-09,2023,0.2,2016-02-24,2016,https://pypi.org/project/aiofiles/,
alembic,1.11.3,pip install alembic,2023-08-16,2023,0.1.0dev,2011-11-29,2011,https://pypi.org/project/alembic/,
botocore,1.31.30,pip install botocore,2023-08-18,2023,0.4.1,2012-12-21,2012,https://pypi.org/project/botocore/,
boto3,1.28.30,pip install boto3,2023-08-18,2023,0.0.1,2014-11-11,2014,https://pypi.org/project/boto3/,
datashader,0.15.2,pip install datashader,2023-08-17,2023,0.1.0,2016-03-17,2016,https://pypi.org/project/datashader/,
comm,0.1.4,pip install comm,2023-08-02,2023,0.0.1,2020-11-02,2020,https://pypi.org/project/comm/,
fastapi,0.101.1,pip install fastapi,2023-08-14,2023,0.1.0,2018-12-08,2018,https://pypi.org/project/fastapi/,
fitter,1.6.0,pip install fitter,2023-08-08,2023,0.1.0,2014-08-18,2014,https://pypi.org/project/fitter/,
google-cloud-aiplatform,1.31.0,pip install google-cloud-aiplatform,2023-08-21,2023,0.3.0,2020-11-09,2020,https://pypi.org/project/google-cloud-aiplatform/,
google-cloud-bigtable,2.21.0,pip install google-cloud-bigtable,2023-08-09,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-bigtable/,
google-cloud-artifact-registry,1.8.3,pip install google-cloud-artifact-registry,2023-08-03,2023,0.1.0,2021-03-16,2021,https://pypi.org/project/google-cloud-artifact-registry/,
google-cloud-pubsub,2.18.3,pip install google-cloud-pubsub,2023-08-18,2023,0.0.1,2016-08-15,2016,https://pypi.org/project/google-cloud-pubsub/,
google-cloud-resource-manager,1.10.3,pip install google-cloud-resource-manager,2023-08-03,2023,0.0.1,2016-09-19,2016,https://pypi.org/project/google-cloud-resource-manager/,
google-cloud-spanner,3.40.1,pip install google-cloud-spanner,2023-08-17,2023,0.23.0,2017-02-14,2017,https://pypi.org/project/google-cloud-spanner/,
hdfs,2.7.2,pip install hdfs,2023-08-09,2023,0.0.1,2014-03-10,2014,https://pypi.org/project/hdfs/,
imagecodecs,2023.8.12,pip install imagecodecs,2023-08-13,2023,2018.10.10,2018-10-11,2018,https://pypi.org/project/imagecodecs/,
jupyterlab,4.0.5,pip install jupyterlab,2023-08-13,2023,0.0.1,2015-12-15,2015,https://pypi.org/project/jupyterlab/,
kfp-server-api,2.0.1,pip install kfp-server-api,2023-08-17,2023,0.1.18.1,2019-04-24,2019,https://pypi.org/project/kfp-server-api/,
jupyterlab-git,0.42.0,pip install jupyterlab-git,2023-08-10,2023,0.1.1,2018-07-30,2018,https://pypi.org/project/jupyterlab-git/,
kornia,0.7.0,pip install kornia,2023-08-02,2023,0.1.3.post2,2019-05-24,2019,https://pypi.org/project/kornia/,
line-profiler,4.1.0,pip install line-profiler,2023-08-17,2023,1.0b1,2009-01-21,2009,https://pypi.org/project/line-profiler/,
mne,1.5.0,pip install mne,2023-08-15,2023,0.1,2011-09-23,2011,https://pypi.org/project/mne/,
orjson,3.9.5,pip install orjson,2023-08-16,2023,1.0.0,2018-11-23,2018,https://pypi.org/project/orjson/,
overrides,7.4.0,pip install overrides,2023-08-06,2023,0.1,2015-05-23,2015,https://pypi.org/project/overrides/,
ortools,9.7.2996,pip install ortools,2023-08-09,2023,1.3069,2014-01-04,2014,https://pypi.org/project/ortools/,
pydicom,2.4.3,pip install pydicom,2023-08-15,2023,0.9.1,2008-10-11,2008,https://pypi.org/project/pydicom/,
pygltflib,1.16.0,pip install pygltflib,2023-08-08,2023,0.2,2018-10-26,2018,https://pypi.org/project/pygltflib/,
pysal,23.7,pip install pysal,2023-08-01,2023,1.4.1,2013-01-24,2013,https://pypi.org/project/pysal/,
ray,2.6.3,pip install ray,2023-08-15,2023,0.1.1,2017-06-03,2017,https://pypi.org/project/ray/,
ray-cpp,2.6.3,pip install ray-cpp,2023-08-15,2023,1.6.0,2021-08-31,2021,https://pypi.org/project/ray-cpp/,
responses,0.23.3,pip install responses,2023-08-01,2023,0.1.0,2013-11-25,2013,https://pypi.org/project/responses/,
s3transfer,0.6.2,pip install s3transfer,2023-08-15,2023,0.0.1,2016-01-18,2016,https://pypi.org/project/s3transfer/,
sentry-sdk,1.29.2,pip install sentry-sdk,2023-08-01,2023,0.1.0rc1,2018-07-26,2018,https://pypi.org/project/sentry-sdk/,
sqlglot,17.14.2,pip install sqlglot,2023-08-15,2023,0.1.0,2021-03-18,2021,https://pypi.org/project/sqlglot/,
tensorboardX,2.6.2.2,pip install tensorboardX,2023-08-20,2023,0.6.9,2017-08-23,2017,https://pypi.org/project/tensorboardX/,
tensorflow-io,0.33.0,pip install tensorflow-io,2023-08-02,2023,0.3.0,2019-02-16,2019,https://pypi.org/project/tensorflow-io/,
tensorflow-transform,1.14.0,pip install tensorflow-transform,2023-08-11,2023,0.1.0,2017-02-17,2017,https://pypi.org/project/tensorflow-transform/,
timm,0.9.5,pip install timm,2023-08-03,2023,0.1.1,2019-06-21,2019,https://pypi.org/project/timm/,
torchmetrics,1.0.3,pip install torchmetrics,2023-08-08,2023,0.2.0,2021-03-12,2021,https://pypi.org/project/torchmetrics/,
typeguard,4.1.2,pip install typeguard,2023-08-17,2023,1.0.0,2015-12-29,2015,https://pypi.org/project/typeguard/,
virtualenv,20.24.3,pip install virtualenv,2023-08-11,2023,0.8,2007-09-14,2007,https://pypi.org/project/virtualenv/,
wandb,0.15.8,pip install wandb,2023-08-01,2023,0.1.0,2017-03-24,2017,https://pypi.org/project/wandb/,
Django,4.2.4,pip install Django,2023-08-01,2023,1.0.1,2010-05-17,2010,https://pypi.org/project/Django/,
azure-core,1.29.2,pip install azure-core,2023-08-14,2023,1.0.0b1,2019-06-27,2019,https://pypi.org/project/azure-core/,
bce-python-sdk,0.8.90,pip install bce-python-sdk,2023-08-18,2023,0.8.4,2015-07-06,2015,https://pypi.org/project/bce-python-sdk/,
django-debug-toolbar,4.2.0,pip install django-debug-toolbar,2023-08-11,2023,0.7.0,2009-04-02,2009,https://pypi.org/project/django-debug-toolbar/,
duplicity,2.0.2,pip install duplicity,2023-08-15,2023,0.8.11.1566,2020-02-01,2020,https://pypi.org/project/duplicity/,
label-studio,1.8.1,pip install label-studio,2023-08-02,2023,0.4.0rc1,2020-01-09,2020,https://pypi.org/project/label-studio/,
launchdarkly-server-sdk,8.1.5,pip install launchdarkly-server-sdk,2023-08-15,2023,6.9.2,2019-05-02,2019,https://pypi.org/project/launchdarkly-server-sdk/,
paddleocr,2.7.0.2,pip install paddleocr,2023-08-10,2023,0.0.1.1,2020-08-22,2020,https://pypi.org/project/paddleocr/,
psycopg2-binary,2.9.7,pip install psycopg2-binary,2023-08-05,2023,2.7.3.2,2018-01-29,2018,https://pypi.org/project/psycopg2-binary/,
redis,5.0.0,pip install redis,2023-08-15,2023,0.6.0,2009-11-26,2009,https://pypi.org/project/redis/,
basemap,1.3.8,pip install basemap,2023-08-18,2023,0.9.2,2006-09-05,2006,https://pypi.org/project/basemap/,
cookiecutter,2.3.0,pip install cookiecutter,2023-08-03,2023,0.1,2013-07-14,2013,https://pypi.org/project/cookiecutter/,
coverage,7.3.0,pip install coverage,2023-08-12,2023,2.5,2005-12-06,2005,https://pypi.org/project/coverage/,
dnspython,2.4.2,pip install dnspython,2023-08-09,2023,1.0.0,2003-06-30,2003,https://pypi.org/project/dnspython/,
glue-core,1.13.1,pip install glue-core,2023-08-17,2023,0.10.1,2017-03-16,2017,https://pypi.org/project/glue-core/,
mypy,1.5.1,pip install mypy,2023-08-16,2023,0.1,2009-09-08,2009,https://pypi.org/project/mypy/,
pomegranate,1.0.2,pip install pomegranate,2023-08-15,2023,0.0.1,2014-11-24,2014,https://pypi.org/project/pomegranate/,
petl,1.7.13,pip install petl,2023-08-16,2023,0.2,2011-12-01,2011,https://pypi.org/project/petl/,
Protego,0.3.0,pip install Protego,2023-08-09,2023,0.1.dev0,2019-07-18,2019,https://pypi.org/project/Protego/,
PyHive,0.7.0,pip install PyHive,2023-08-17,2023,0.1.0,2014-03-29,2014,https://pypi.org/project/PyHive/,
pytest-doctestplus,1.0.0,pip install pytest-doctestplus,2023-08-11,2023,0.1.0,2017-10-10,2017,https://pypi.org/project/pytest-doctestplus/,
python-engineio,4.6.0,pip install python-engineio,2023-08-21,2023,0.1.0,2015-06-21,2015,https://pypi.org/project/python-engineio/,
Scrapy,2.10.0,pip install Scrapy,2023-08-04,2023,0.7,2010-01-20,2010,https://pypi.org/project/Scrapy/,
sh,2.0.6,pip install sh,2023-08-10,2023,0.01,2012-03-23,2012,https://pypi.org/project/sh/,
sip,6.7.11,pip install sip,2023-08-02,2023,4.18,2016-04-13,2016,https://pypi.org/project/sip/,
stripe,6.0.0,pip install stripe,2023-08-16,2023,1.5.0,2011-10-29,2011,https://pypi.org/project/stripe/,
traits,6.4.2,pip install traits,2023-08-07,2023,4.0.0,2011-06-21,2011,https://pypi.org/project/traits/,
w3lib,2.1.2,pip install w3lib,2023-08-03,2023,1,2011-04-16,2011,https://pypi.org/project/w3lib/,
